orderid,dateid,countryid,categoryid,amount
327,2,27,4,4586
328,2,23,1,2672
329,2,22,1,1809
330,2,20,2,4485
331,2,34,4,7297
332,2,50,3,1552
333,2,11,5,3300
334,2,13,3,5086
335,2,22,3,2178
336,2,37,2,3251
337,2,48,5,3510
338,2,10,3,2113
339,2,19,5,6295
340,2,43,1,1952
341,2,44,5,1260
342,2,19,1,3860
343,2,12,4,66
344,2,13,5,5003
345,2,31,3,4566
346,2,24,2,4482
347,2,45,1,4480
348,2,21,2,2835
349,2,50,4,2308
350,2,45,4,1101
351,2,21,1,2691
352,2,7,1,5531
353,2,30,2,4409
354,2,42,1,2373
355,2,31,4,1536
356,2,33,3,3427
357,2,37,1,289
358,2,54,2,1178
359,2,38,4,4204
360,2,28,2,6259
361,2,25,3,5162
362,2,29,2,4793
363,2,4,2,1086
364,2,46,2,7048
365,2,15,4,5903
366,2,54,4,3386
367,2,30,4,6206
368,2,25,5,3783
369,2,5,1,1095
370,2,2,2,3056
371,2,41,5,2542
372,2,51,5,7902
373,2,8,5,3129
374,2,12,5,7878
375,2,40,5,7353
376,2,28,4,6672
377,2,42,2,7532
378,2,37,4,1817
379,2,43,5,5098
380,2,30,5,2997
381,2,24,4,2308
382,2,15,5,2516
383,2,1,5,6475
384,2,6,4,4896
385,2,17,5,5549
386,2,29,5,6931
387,2,41,2,2358
388,2,10,5,5275
389,2,23,2,7665
390,2,1,3,4492
391,2,28,1,967
392,2,16,4,812
393,2,35,4,6936
394,2,2,5,7353
395,2,42,4,2331
396,2,40,4,3095
397,2,56,5,2694
398,2,53,2,660
399,2,55,1,6169
400,2,20,3,1846
401,2,45,2,2074
402,2,36,4,2397
403,2,39,2,639
404,2,37,5,5666
405,2,35,5,3706
406,2,8,2,4004
407,2,19,4,2552
408,2,49,3,3723
409,2,1,2,1057
410,2,16,1,2209
411,2,52,3,7340
412,2,8,4,1798
413,2,25,4,18
414,2,13,4,1756
415,2,14,5,5891
416,2,52,1,1539
417,2,47,1,1410
418,2,51,2,5838
419,2,20,5,7554
420,2,35,2,6037
421,2,12,3,2362
422,2,35,3,1263
423,2,7,4,725
424,2,33,5,2907
425,2,18,5,1626
426,2,42,3,692
427,2,48,3,7379
428,2,54,3,3549
429,2,32,4,6067
430,2,38,2,7753
431,2,9,4,6808
432,2,41,4,5558
433,2,2,3,5923
434,2,22,4,6113
435,2,21,4,7022
436,2,36,5,1610
437,2,40,2,6728
438,2,48,4,7789
439,2,32,5,4459
440,2,49,1,4658
441,2,48,2,1025
442,2,19,3,4612
443,2,18,2,1261
444,2,48,1,4684
445,2,9,2,250
446,2,5,3,6927
447,2,24,3,6548
448,2,30,1,2661
449,2,9,1,1032
450,2,25,1,232
451,2,50,2,486
452,2,34,2,4079
453,2,16,5,1348
454,2,49,5,2412
455,2,40,3,7003
456,2,32,2,815
457,2,7,3,5851
458,2,43,2,1647
459,2,44,4,991
460,2,38,3,7150
461,2,46,3,5574
462,2,5,2,7041
463,2,55,3,1232
464,2,17,3,1037
465,2,47,3,2272
466,2,52,4,4983
467,2,15,1,4482
468,2,6,2,3481
469,2,31,2,4323
470,2,28,5,3274
471,2,36,1,4518
472,2,43,3,2224
473,2,36,2,6475
474,2,37,3,6701
475,2,9,5,7331
476,2,26,1,1592
477,2,26,4,6234
478,2,31,5,5786
479,2,8,3,266
480,2,29,4,386
481,2,19,2,1760
482,2,26,5,755
483,2,1,1,5404
484,2,3,5,1535
485,2,34,1,1962
486,2,6,3,1210
487,2,23,3,6985
488,2,39,3,2610
489,2,41,1,2189
490,2,39,1,4858
491,2,7,5,2284
492,2,10,2,4167
493,2,55,5,7330
494,2,44,1,6882
495,2,14,1,611
496,2,56,1,7637
497,2,3,3,2452
498,2,11,2,5169
499,2,4,3,3691
500,2,46,1,6797
501,2,16,2,1268
502,2,14,4,7788
503,2,7,2,2947
504,2,17,2,3280
505,2,54,1,3851
506,2,53,4,7058
507,2,18,1,5943
508,2,55,4,4842
509,2,40,1,1984
510,2,8,1,113
511,2,25,2,6606
512,2,38,5,5141
513,2,20,4,5962
514,2,51,4,1941
515,2,9,3,423
516,2,34,3,328
517,2,31,1,5152
518,2,33,4,2848
519,2,21,3,3050
520,2,36,3,1626
521,2,28,3,3864
522,2,44,2,6003
523,2,10,4,293
524,2,33,1,347
525,2,30,3,5006
526,2,50,5,5538
527,2,29,1,3602
528,2,14,2,4016
529,2,51,1,4687
530,2,6,5,5179
531,2,17,4,6915
532,2,5,5,1177
533,2,1,4,5976
534,2,56,4,3395
535,2,56,2,1126
536,2,47,2,6297
537,2,50,1,5226
538,2,11,4,7260
539,2,2,1,4501
540,2,53,5,7632
541,2,32,1,4117
542,2,12,2,2153
543,2,42,5,2203
544,2,17,1,4600
545,2,11,1,3304
546,2,52,2,4612
547,2,33,2,2374
548,2,21,5,2568
549,2,4,5,1852
550,2,12,1,6517
551,3,7,3,5493
552,3,34,2,2402
553,3,32,3,3551
554,3,53,3,7699
555,3,54,2,1347
556,3,28,2,7697
557,3,36,3,3429
558,3,38,1,3062
559,3,30,3,2338
560,3,2,2,3976
561,3,33,2,4144
562,3,51,3,3934
563,3,42,4,1520
564,3,8,3,4171
565,3,51,2,7612
566,3,47,4,5450
567,3,50,1,618
568,3,8,4,1281
569,3,48,4,1474
570,3,17,1,6985
571,3,31,3,1264
572,3,44,3,3045
573,3,24,5,1036
574,3,47,5,5623
575,3,11,1,4444
576,3,50,4,5590
577,3,9,2,5350
578,3,2,1,6891
579,3,48,2,1680
580,3,49,4,7816
581,3,37,1,154
582,3,51,1,482
583,3,42,1,22
584,3,4,4,5823
585,3,53,2,3684
586,3,13,2,4359
587,3,43,4,1767
588,3,10,1,1956
589,3,49,3,2983
590,3,21,2,1277
591,3,14,5,134
592,3,12,4,6946
593,3,10,3,5825
594,3,31,5,6304
595,3,9,5,5315
596,3,48,3,3757
597,3,21,3,5318
598,3,44,5,4066
599,3,21,4,6690
600,3,44,2,4623
601,3,32,1,753
602,3,55,3,1123
603,3,15,4,3613
604,3,39,5,999
605,3,24,2,6690
606,3,3,1,377
607,3,20,3,2669
608,3,46,1,7358
609,3,23,3,92
610,3,29,1,7282
611,3,4,5,3681
612,3,5,2,5872
613,3,30,4,591
614,3,16,2,5144
615,3,26,3,6832
616,3,28,1,7094
617,3,12,1,1296
618,3,53,5,548
619,3,2,5,7421
620,3,50,5,923
621,3,13,1,5309
622,3,2,3,258
623,3,36,2,5120
624,3,43,3,7371
625,3,19,5,2987
626,3,26,1,3782
627,3,7,4,2036
628,3,9,3,3468
629,3,34,3,3797
630,3,6,4,1694
631,3,40,2,6650
632,3,18,2,946
633,3,37,5,43
634,3,49,1,1275
635,3,5,4,934
636,3,28,4,3036
637,3,33,4,5177
638,3,11,5,7316
639,3,13,4,5648
640,3,15,3,4608
641,3,44,1,6164
642,3,14,1,4442
643,3,4,2,4631
644,3,16,4,4372
645,3,25,2,6213
646,3,39,1,5449
647,3,31,2,7851
648,3,41,2,3327
649,3,53,4,6014
650,3,9,4,905
651,3,29,2,7006
652,3,33,3,5045
653,3,21,1,5816
654,3,50,3,7288
655,3,39,3,5943
656,3,41,3,227
657,3,1,4,2694
658,3,19,2,5750
659,3,28,3,3107
660,3,12,2,3504
661,3,24,4,3832
662,3,4,1,6786
663,3,1,3,225
664,3,19,4,1507
665,3,46,2,1501
666,3,32,4,3692
667,3,13,5,3881
668,3,4,3,4827
669,3,46,3,7037
670,3,49,5,3933
671,3,5,3,4252
672,3,22,4,5885
673,3,36,1,3535
674,3,15,5,5905
675,3,41,4,843
676,3,3,5,619
677,3,24,1,1625
678,3,31,1,4937
679,3,35,1,3790
680,3,8,5,4787
681,3,37,3,28
682,3,27,3,3912
683,3,36,5,65
684,3,45,3,4839
685,3,45,5,1723
686,3,22,1,4180
687,3,38,2,6752
688,3,54,4,3346
689,3,14,2,1136
690,3,41,5,2446
691,3,28,5,3732
692,3,56,4,4771
693,3,39,4,1986
694,3,55,4,3556
695,3,7,2,1355
696,3,51,5,6732
697,3,54,3,3216
698,3,21,5,2503
699,3,51,4,97
700,3,33,1,1846
701,3,11,4,6725
702,3,48,5,599
703,3,35,4,684
704,3,37,2,1846
705,3,24,3,4381
706,3,8,2,373
707,3,54,1,1384
708,3,5,5,7288
709,3,18,3,3600
710,3,11,2,919
711,3,29,3,2443
712,3,34,1,2187
713,3,56,3,1280
714,3,12,3,3045
715,3,29,5,5485
716,3,6,1,5619
717,3,26,5,1953
718,3,26,4,3063
719,3,27,2,4542
720,3,1,2,5458
721,3,10,2,7184
722,3,34,5,2168
723,3,9,1,3662
724,3,34,4,1693
725,3,40,1,38
726,3,53,1,7714
727,3,26,2,4191
728,3,18,5,6849
729,3,42,5,6241
730,3,1,1,7054
731,3,25,5,7409
732,3,27,5,5246
733,3,45,4,1654
734,3,3,3,6516
735,3,2,4,7872
736,3,31,4,3023
737,3,3,4,6476
738,3,27,4,2351
739,3,55,5,7190
740,3,35,5,773
741,3,17,4,5446
742,3,7,5,2665
743,3,52,1,125
744,3,48,1,3454
745,3,41,1,1767
746,3,39,2,6457
747,3,8,1,96
748,3,52,3,2253
749,3,17,5,6874
750,3,6,3,7579
751,3,14,3,2814
752,3,25,4,6930
753,3,14,4,5191
754,3,23,5,1028
755,3,6,5,7980
756,3,16,1,2984
757,3,32,2,3092
758,3,20,2,1513
759,3,38,4,7804
760,3,17,3,498
761,3,54,5,213
762,3,44,4,51
763,3,20,1,7161
764,3,19,1,2873
765,3,47,2,2657
766,3,52,2,7890
767,3,35,3,5263
768,3,22,5,5515
769,3,35,2,2817
770,3,18,1,3549
771,3,1,5,5827
772,3,45,1,3580
773,3,42,2,4977
774,3,22,3,5164
775,3,47,3,250
776,3,52,5,4213
777,3,5,1,432
778,3,46,4,93
779,3,27,1,4535
780,3,49,2,363
781,3,23,1,2891
782,3,42,3,3193
783,3,7,1,3411
784,3,43,5,2407
785,3,45,2,3292
786,3,6,2,4439
787,3,40,5,2861
788,3,11,3,7021
789,3,25,3,3219
790,3,10,4,1200
791,3,17,2,2133
792,3,33,5,2727
793,3,12,5,707
794,3,13,3,7800
795,3,46,5,5068
796,3,40,4,5309
797,3,23,4,5305
798,3,55,1,7499
799,3,30,5,7641
800,3,56,2,5723
801,3,18,4,1517
802,3,3,2,4582
803,3,23,2,3574
804,3,50,2,1885
805,3,43,2,7050
806,3,20,5,245
807,3,16,3,2133
808,3,19,3,4108
809,3,29,4,274
810,3,25,1,7869
811,3,10,5,7843
812,3,15,2,579
813,3,30,2,3912
814,3,16,5,4888
815,3,30,1,4804
816,3,56,1,5016
817,3,47,1,7508
818,3,32,5,3068
819,3,52,4,2861
820,3,43,1,7046
821,3,36,4,6336
822,3,56,5,7876
823,3,20,4,4742
824,3,15,1,7704
825,3,40,3,5426
826,4,5,3,2366
827,4,10,2,3054
828,4,28,2,6910
829,4,31,1,3435
830,4,33,1,1619
831,4,37,4,1863
832,4,42,4,3561
833,4,56,2,3258
834,4,8,4,2351
835,4,10,5,3459
836,4,11,1,301
837,4,9,2,7020
838,4,50,5,6612
839,4,32,4,6258
840,4,56,5,3876
841,4,28,5,2344
842,4,27,3,1840
843,4,39,1,1684
844,4,21,1,1441
845,4,26,1,3680
846,4,20,2,6961
847,4,5,5,6979
848,4,15,5,4727
849,4,26,3,6861
850,4,36,1,1477
851,4,51,2,3611
852,4,22,3,6256
853,4,45,3,6388
854,4,34,1,3136
855,4,19,3,3618
856,4,1,4,376
857,4,51,3,3018
858,4,29,3,931
859,4,53,2,280
860,4,17,2,7619
861,4,40,1,2827
862,4,32,1,7640
863,4,42,2,2890
864,4,26,2,3173
865,4,25,4,3357
866,4,24,3,4956
867,4,13,3,4782
868,4,20,4,121
869,4,10,3,560
870,4,11,4,6669
871,4,16,3,1714
872,4,28,1,7317
873,4,34,2,566
874,4,42,5,3402
875,4,14,4,1725
876,4,1,1,762
877,4,24,1,7359
878,4,38,3,1187
879,4,35,3,85
880,4,47,3,1950
881,4,50,3,1326
882,4,36,4,195
883,4,22,2,6110
884,4,38,2,1432
885,4,36,5,1860
886,4,12,1,606
887,4,9,5,2687
888,4,4,2,4825
889,4,45,5,4605
890,4,53,3,1386
891,4,16,1,3109
892,4,44,2,6703
893,4,17,4,4318
894,4,13,4,2175
895,4,30,4,6365
896,4,41,5,1437
897,4,7,5,2972
898,4,3,1,6291
899,4,23,2,7168
900,4,13,1,7081
901,4,39,4,6561
902,4,27,1,6865
903,4,37,3,3737
904,4,2,3,2559
905,4,17,5,5325
906,4,20,5,461
907,4,44,5,4510
908,4,15,4,677
909,4,48,1,3910
910,4,25,3,7279
911,4,11,5,5298
912,4,32,3,4130
913,4,56,3,1847
914,4,32,5,5296
915,4,29,2,1185
916,4,19,5,5029
917,4,41,2,1062
918,4,12,4,156
919,4,53,4,2266
920,4,40,3,5709
921,4,3,2,1325
922,4,22,4,5923
923,4,16,4,4232
924,4,7,3,1834
925,4,46,1,280
926,4,54,2,952
927,4,35,4,7276
928,4,41,1,5616
929,4,54,4,940
930,4,15,1,2592
931,4,19,1,5224
932,4,52,4,1562
933,4,49,4,683
934,4,43,1,4130
935,4,30,1,3248
936,4,4,3,1172
937,4,44,1,5941
938,4,38,5,5364
939,4,6,3,415
940,4,47,1,19
941,4,39,3,6825
942,4,25,2,7206
943,4,43,3,2960
944,4,33,5,3764
945,4,8,3,7293
946,4,27,2,2812
947,4,46,3,5841
948,4,52,2,3850
949,4,50,2,7801
950,4,16,5,3795
951,4,29,4,2321
952,4,54,5,7433
953,4,9,1,4542
954,4,35,2,450
955,4,24,4,3102
956,4,36,3,5682
957,4,21,5,7963
958,4,21,4,6681
959,4,44,4,5766
960,4,34,4,7175
961,4,48,3,1785
962,4,26,4,6161
963,4,2,2,1547
964,4,1,2,3494
965,4,34,5,6089
966,4,55,5,4356
967,4,12,5,7888
968,4,20,1,5901
969,4,23,4,6773
970,4,1,3,7814
971,4,52,1,4874
972,4,51,1,6934
973,4,14,5,6564
974,4,19,4,7786
975,4,6,4,4495
976,4,15,3,177
977,4,42,3,206
978,4,2,5,4359
979,4,4,1,3180
980,4,48,2,2933
981,4,48,5,2938
982,4,51,4,594
983,4,27,4,4862
984,4,50,1,7543
985,4,39,5,52
986,4,14,2,4203
987,4,38,4,4395
988,4,3,3,103
989,4,53,5,5953
990,4,54,3,1713
991,4,49,1,2260
992,4,12,2,448
993,4,15,2,2312
994,4,55,1,4655
995,4,28,4,1513
996,4,33,2,6062
997,4,2,1,1361
998,4,5,2,5048
999,4,22,1,1431
1000,4,37,2,7800
1001,4,10,1,2235
1002,4,33,4,4083
1003,4,46,4,3846
1004,4,21,2,7783
1005,4,24,5,6499
1006,4,43,4,174
1007,4,45,4,3504
1008,4,40,4,5072
1009,4,34,3,2775
1010,4,16,2,4305
1011,4,31,2,4364
1012,4,46,5,4675
1013,4,56,1,455
1014,4,17,3,2863
1015,4,46,2,7411
1016,4,33,3,6024
1017,4,43,5,3973
1018,4,51,5,453
1019,4,42,1,1541
1020,4,48,4,3088
1021,4,37,1,3282
1022,4,31,4,4289
1023,4,2,4,7039
1024,4,7,2,7565
1025,4,29,5,6325
1026,4,54,1,3277
1027,4,20,3,3757
1028,4,8,5,1670
1029,4,25,1,3097
1030,4,7,1,1414
1031,4,1,5,7669
1032,4,8,2,682
1033,4,6,1,4981
1034,4,41,3,6651
1035,4,31,5,6724
1036,4,41,4,1864
1037,4,4,5,801
1038,4,17,1,3032
1039,4,3,4,2259
1040,4,10,4,4214
1041,4,52,5,1674
1042,4,27,5,2669
1043,4,23,5,1547
1044,4,55,4,3203
1045,4,37,5,1308
1046,4,11,3,3429
1047,4,49,5,628
1048,4,56,4,6295
1049,4,6,2,6348
1050,4,26,5,5932
1051,4,18,5,3169
1052,4,29,1,6576
1053,4,23,1,4995
1054,4,52,3,4277
1055,4,9,4,3285
1056,4,14,1,7701
1057,4,28,3,5930
1058,4,21,3,4129
1059,4,45,1,44
1060,4,25,5,1692
1061,4,23,3,6155
1062,4,35,5,1699
1063,4,32,2,757
1064,4,40,5,3221
1065,4,43,2,3971
1066,4,39,2,7972
1067,4,45,2,7902
1068,4,35,1,7338
1069,4,38,1,2947
1070,4,24,2,6918
1071,4,30,5,5382
1072,4,47,5,2497
1073,4,18,4,7206
1074,4,53,1,5162
1075,4,7,4,7716
1076,4,18,1,1805
1077,4,31,3,5693
1078,4,5,1,6914
1079,4,18,3,570
1080,4,6,5,5861
1081,4,13,2,6171
1082,4,47,4,1583
1083,4,8,1,4088
1084,4,3,5,910
1085,4,55,2,325
1086,4,4,4,472
1087,4,49,3,4903
1088,4,22,5,708
1089,4,19,2,6776
1090,4,40,2,3206
1091,4,13,5,5848
1092,4,49,2,6285
1093,4,18,2,4738
1094,4,36,2,6398
1095,4,5,4,2272
1096,4,50,4,656
1097,4,30,2,1143
1098,4,30,3,4400
1099,4,11,2,2167
1100,4,14,3,3832
1101,4,9,3,878
1102,4,55,3,3095
1103,5,56,4,67
1104,5,22,1,6806
1105,5,6,3,5078
1106,5,26,4,4544
1107,5,24,4,4608
1108,5,13,1,6515
1109,5,44,2,3228
1110,5,5,1,5432
1111,5,28,3,672
1112,5,21,5,6774
1113,5,7,2,2381
1114,5,36,5,7007
1115,5,10,2,4216
1116,5,16,3,4783
1117,5,17,4,1658
1118,5,39,2,1550
1119,5,16,5,4870
1120,5,4,3,146
1121,5,33,2,3752
1122,5,39,1,349
1123,5,26,1,2221
1124,5,3,5,6782
1125,5,8,2,1979
1126,5,2,1,5415
1127,5,55,4,2808
1128,5,42,4,6346
1129,5,31,3,3685
1130,5,13,3,784
1131,5,55,3,3152
1132,5,11,4,7021
1133,5,37,2,4063
1134,5,47,1,3446
1135,5,40,2,6637
1136,5,27,4,1236
1137,5,13,4,604
1138,5,23,1,5482
1139,5,17,1,3199
1140,5,16,2,3903
1141,5,38,2,2089
1142,5,1,1,86
1143,5,40,1,7976
1144,5,46,2,5827
1145,5,5,2,2047
1146,5,5,5,5336
1147,5,43,3,4317
1148,5,3,1,4796
1149,5,31,4,7174
1150,5,26,2,740
1151,5,52,3,4116
1152,5,32,5,3524
1153,5,3,3,3223
1154,5,24,5,4869
1155,5,25,5,6805
1156,5,3,4,1133
1157,5,53,4,3496
1158,5,1,4,4274
1159,5,15,5,7231
1160,5,46,3,5354
1161,5,23,2,2234
1162,5,14,3,4419
1163,5,28,4,2246
1164,5,10,4,3032
1165,5,32,3,1304
1166,5,40,4,2054
1167,5,2,2,1017
1168,5,25,2,406
1169,5,31,2,7504
1170,5,14,2,7960
1171,5,55,5,6234
1172,5,39,3,5673
1173,5,50,5,6646
1174,5,3,2,7659
1175,5,20,3,788
1176,5,20,5,3093
1177,5,20,4,6861
1178,5,22,5,6264
1179,5,23,4,3712
1180,5,41,2,1759
1181,5,24,2,6611
1182,5,53,1,6630
1183,5,46,4,2872
1184,5,37,3,1000
1185,5,34,3,3532
1186,5,19,1,1682
1187,5,17,3,5357
1188,5,15,1,2775
1189,5,50,2,1882
1190,5,7,4,6741
1191,5,47,3,1473
1192,5,53,3,3087
1193,5,7,3,2769
1194,5,4,4,1817
1195,5,5,4,6639
1196,5,1,5,7316
1197,5,8,1,6985
1198,5,1,2,1439
1199,5,54,1,1032
1200,5,2,3,3815
1201,5,22,2,3152
1202,5,35,1,7243
1203,5,33,5,5454
1204,5,2,4,6990
1205,5,12,1,1783
1206,5,27,3,7545
1207,5,17,5,3797
1208,5,18,5,3048
1209,5,39,4,7120
1210,5,41,3,1151
1211,5,6,5,1947
1212,5,32,2,6887
1213,5,44,5,4801
1214,5,41,4,7957
1215,5,53,2,1122
1216,5,4,1,4171
1217,5,43,2,5966
1218,5,6,2,4019
1219,5,27,2,5517
1220,5,9,1,2987
1221,5,43,4,3588
1222,5,40,3,6209
1223,5,23,3,3091
1224,5,9,4,2277
1225,5,56,2,6596
1226,5,55,1,7577
1227,5,51,5,7012
1228,5,45,4,2563
1229,5,32,1,6600
1230,5,36,1,2432
1231,5,12,2,3151
1232,5,30,1,6445
1233,5,15,4,7178
1234,5,18,2,91
1235,5,43,1,329
1236,5,7,1,7843
1237,5,12,4,2347
1238,5,11,5,3819
1239,5,9,3,3711
1240,5,52,4,7047
1241,5,49,4,1824
1242,5,30,3,2061
1243,5,49,3,1452
1244,5,49,2,2805
1245,5,52,5,7344
1246,5,35,4,3779
1247,5,11,3,1088
1248,5,24,3,795
1249,5,8,4,5647
1250,5,45,5,7809
1251,5,9,2,670
1252,5,41,1,7636
1253,5,31,5,2140
1254,5,27,5,764
1255,5,29,4,7593
1256,5,48,2,7611
1257,5,45,2,5956
1258,5,10,5,2344
1259,5,45,1,5905
